name,category,review,price,range,description,
"Glenlivet Cellar Collection 1973 vintage, 49%",Single Malt Scotch,95,1250,1001 to 5000 Dollars,"A marriage of three casks, one of them an ex-sherry butt. The sherry is certainly evident, and this is more sherried than many of the Cellar Collection whiskies to date. Opulent and seductive, with prominent fruit (glazed spiced oranges, ripe peach, and hints of pineapple and coconut), caramel-coated nuts, and vanilla custard. A peppering of ginger and cinnamon throughout. Coating, soothing finish. Polished and seamless, with no trace of excessive oak. One of the richest -- and finest -- Cellar Collections to date. Anyone willing and able to cough up the bucks for this whisky will be richly rewarded. (Only 240 bottles available in the U.S., beginning June 2010.)",
"Glenfarclas 40 year old, 46%",Single Malt Scotch,95,460,101 to 500 Dollars,"Glenfarclas has a proven track record for aging very well. I’ve enjoyed some amazing 25 and 30 year old expressions, in addition to some older vintage offerings. Does this new 40 year old follow suit? Absolutely! It’s complex and well-rounded, with great depth and no excessive oak. Lush, candied citrus (especially orange), old pot still rum, maple syrup, fig, roasted nuts, and polished leather, with hints of mocha, candied ginger, and tobacco. A bit oily in texture (which I find soothing) with good tannic grip on the finish. A classic, well-matured Glenfarclas — and a very good value for its age. (Editor's Choice)",
"Compass Box Flaming Heart (10th Anniversary bottling), 48.9%",Blended Malt Scotch Whisky,95,105,101 to 500 Dollars,"A marriage of three different single malts, aged in American and French oak. This whisky shows the advantage of marrying whiskies from more than one distillery (when properly done). Vibrant, with a complex array of fruit (orchard fruit, sultana), sweetness (light toffee, marzipan, honeyed malt), spice (creamy vanilla, mocha, warming pepper), smoke (tar, smoked olive, coal), and lesser notes of toasted almond and beach pebbles. More smoke and tar on the palate than the nose, yet always in balance. Well played! (Editor's Choice)",
"Glenglassaugh, 40 year old, 44.6%",Single Malt Scotch,95,2525,1001 to 5000 Dollars,"An excellent example of an ultra-mature, sherried whisky done the right way. Much darker and more decadent than the other two releases here. Silky texture. Rummy, jammy fruit, toasted walnut, leather, spice (cinnamon, clove), tobacco, and dark chocolate, with a foundation of juicy oak. Tasting this whisky, you know it’s old, but you also know it’s very good. ",
"Brora 2010, 54.3%",Single Malt Scotch,95,455,101 to 500 Dollars,"Though Brora has acquired cult status, it has to be said that for a few years these Special Release Broras went through an off-putting butyric phase, which might well have put off newbies to this legendary closed site, who must have wondered what all the fuss was about.
One nose of the 2010 SR shows that these days have been consigned to the past. This is classy from the word go. Gold in color; the nose manages to be both overtly waxy — I’m reminded of waxed paper — and fragrant. Behind that is coal smoke, rather than the heavy peatiness of earlier vintages (Brora’s peating levels varied in its last years). In other words, this is robust and powerful, with an evocative aroma that speaks of old sea chests, the seashore, and vellum. Hugely concentrated, with massed fruits — quince especially — following behind. This is amplified with a drop or two of water. 
The palate is unctuous and heavy. Tectonic plates move more quickly than this does in the mouth. When it does, the oily/waxy textures and flavors move slowly — camphor, peach, membrillo, hints of citrus, and toward the finish a growing brininess (akin to olives) and a hint of smoke. Elemental and one of the best Broras for years. [not available in the U.S.]£280  ",
"Bowmore 50 year old (distilled 1961), 40.7%",Single Malt Scotch,95,26650,10001 and above,"The whisky is sensational, a glorious mix of ginseng syrup, baked banana, semi-dried tropical fruits, and an exotic smoked edge. Without the last, you could believe it was a delicate Cognac. In time, there’s peppermint and guava syrup. A sip is all you need to reveal perfect, thrilling harmony: light nuttiness, pollen, subtle fruits, gentle smoke, and light fungal touches. It’s stunning, but it’s £16,000! Whisky this great, even in limited quantities, should be fairly priced. Points off. £16,000",
"Brora 35 year old, 49.9%",Single Malt Scotch,95,750,501 to 1000 Dollars,"Maturation of this 1978 distillate has taken place in European oak and refill American oak casks. Fresh and fruity on the early, herbal nose; a hint of wax, plus brine, developing walnut fudge, and an underlying wisp of smoke. Finally, wood resin. The palate is very fruity, with mixed spices, then plain chocolate, damp undergrowth, gentle peat smoke, and finally coal. Mildly medicinal. Ashy peat and aniseed linger in the long, slowly drying finish. Brora at its very best. (2,944 bottles) Editor's Choice",
"Compass Box The Peat Monster 10th Anniversary Special Cask Strength Bottling, 54.7%",Blended Scotch Whisky,95,120,101 to 500 Dollars,"As you’d expect, solid peat is the first thing out of the glass, but this isn’t just a peat beast. Underneath are honey, dried fruit, and malt. The palate is all about balance, with honeyed malt, raisin, and oak spice all complementing smoky peat. A lush mouthfeel makes you forget it’s cask strength. A pure love note in a glass from Compass Box to Park Avenue Liquor.  (Park Avenue Liquor only)",
"The Last Drop 50 year old, 50.9%",Blended Scotch Whisky,95,4000,1001 to 5000 Dollars,"Would you have gambled The Last Drop 1960 liquid in new sherry wood for four more years? The indulgent nose proffers maple syrup, buckwheat honey, roasted spices, blue grapes, pomegranate, raspberry compote, cilantro, pandan leaf, and beefsteak juices soaking into mushroom gills. The complex, lustrous mouthfeel is replete with a sheen of rich maltiness, molasses lashed by sherry before a dry, resinous finish. Water brings an oily nuttiness, then further drops produce a silky, clingy texture. Glorious. Miraculous. Victorious. (388 bottles only)",
"The Balvenie 1973 43 year old, 46.6%",Single Malt Scotch,95,15000,10001 and above,"This expression was matured in a European oak oloroso sherry butt. Overtly sherried, with figs, sultanas, cinnamon, and old warm leather on the nose. Finally, fragrant, with milk chocolate-coated Turkish delight. The Turkish delight carries over to the palate, before the chocolate darkens to plain, with raisins, smoked ham, and cloves in the long finish. Remarkably, almost no tannic oak. Textbook stuff.",
"Ardbeg Corryvreckan, 57.1%",Single Malt Scotch,95,90,0 to 100 Dollars,"Part of the permanent Ardbeg range since 2008, Corryvreckan is created from a blend of standard Ardbeg and Ardbeg aged in virgin French Limousin oak casks. Smoky bacon and seaweed, plus dark berries, prickly spices, walnuts, lemon, and sweet peat on the nose. Sweet and savory on the palate, with more lively spice, woodsmoke, phenols, and licorice. The finish is lengthy, with peat, sea salt, pepper, and black coffee. Editors’ Choice",
"Royal Salute 28 year old Kew Palace Edition, 40%",Blended Scotch Whisky,95,790,501 to 1000 Dollars,"Fresh spring floral bouquets, white peach, and nectarine tumble with sweet caramel, dried cherry, white chocolate, fresh linen notes, and vanilla cake batter. Silky smooth with fresh summer fruits, the strong peppery spices push to the fore, but this is nimble, graceful, and displays a real lightness. Compelling, captivating blending for the Flask Collection by Sandy Hyslop, this has a fragrance you could enjoy all night.",
"Highland Park 50 year old, 42.5%",Single Malt Scotch,95,15000,10001 and above,"The nose of this veteran is hugely enticing; rich, with old leather, soft spices, sultanas, figs, polished oak, and dunnage warehouses. Tangy orange develops in time. The orange carries over onto the palate—amazingly vibrant and youthful fruitiness—followed by soft toffee, woodsmoke, and a sprinkling of dusty oak. The finish is extraordinarily long, with licorice and fruit-laden old oak. A true classic! (77 bottles in U.S.)",
"Chivas Regal The Icon, 43%",Blended Scotch Whisky,95,3500,1001 to 5000 Dollars,"A spectacular citrus nose with incredible freshness; neroli oil, bergamot orange, an array of wood spices, baked apricot, dried strawberry, heather, lavender, honeysuckle, jasmine, and hyacinth. An intense array of citrus on the palate—the strongest being mandarin, it is thick-textured yet agile—accompanied by baked brioche, Ling heather honey, vanilla, and oak, with a hint of eucalyptus on the extraordinarily long finish. A masterclass in rare whisky blending.",
"Ardbeg 19 year old Traigh Bhan, 46.2%",Single Malt Scotch,95,300,101 to 500 Dollars,"Ardbeg’s first core bottling with an age statement in nearly 20 years was matured in bourbon and oloroso sherry casks. Rock pools, fabric Band-Aids, coal dust, licorice, hot peat, pineapple, and a seafood platter on the complex nose. The palate is oily, with smoked fish, overt peat smoke, chili, iodine, and lemon. Long in the finish, with more iodine and peppery peat. A delightfully traditional Ardbeg.",
"Ardbeg 19 year old Traigh Bhan (Batch 2), 46.2%",Single Malt Scotch,95,300,101 to 500 Dollars,"The early nose offers hand-rolled tobacco, ginger, black pepper, and fragrant woodsmoke. Medicinal notes, brine, and lemon develop in time. Sweet peat smoke, tropical fruits, toffee, and aniseed on the palate, with smoked haddock and a suggestion of tar. Iodine, black pepper, and sea salt in the lengthy finish.",
"Laphroaig Triple Wood, 48%",Single Malt Scotch,94,100,0 to 100 Dollars,"This is the first time I’ve been up for reviews here so I had a game plan: play it cool, mark tightly, let everyone know I’m hard to please. Then they gave me this, the whisky equivalent to front row tickets to Neil Young on his current Twisted Road tour: not just a chance to get up close and personal with an old favorite, but to do so with an old favorite who’s on fire. Laphroaig’s owners are intent on ensuring a big peaty engine for any new release, but this is a monster by anyone’s standards. It’s essentially Quarter Cask finished in oloroso sherry casks, so in addition to the intense charcoal smoke attack there are rich fruity notes; blackcurrant and berries. It’s an evening barbecue whisky. Grill that fish until it’s blackened and crispy, drizzle on lemon, and as the smoke rears up in protest, sip this. Big, moody, broody, fruity, and rich: what’s not to love? (Travel Retail and some European specialist retailers)",
"Ardbeg 1974 Vintage (Cask #3524), 49.9%",Single Malt Scotch,94,20000,10001 and above,"Cask #3524 is darker, with notes of sticky toffee pudding and chewy caramel that firmly support the polished leather, cigar box, roasted chestnut, smoked seaweed, tar, dark chocolate, and, on the finish, espresso. A meditative whisky. Price listed includes entire Double Barrel 1974 Vintage set.",
"Glenmorangie Astar 2017, 52.5%",Single Malt Scotch,94,100,0 to 100 Dollars,"This is the 15th Special Releases bottling of Lagavulin 12 year old. Matured in refill American oak hogsheads. The nose is smoky, with kippers, charcuterie, and bonfire embers, offset by berry fruits. On the unctuous palate, smoke blends with vanilla, green apples, and licorice, plus pepper and sea salt. Peppery, ashy peat in the lengthy finish. (Individual reviewer rating: 91)",
"Bruichladdich Legacy 6 34 year old, 41%",Single Malt Scotch,94,550,501 to 1000 Dollars,"The sixth and last bottling from the Legacy series. Legacy 6 is a marriage of six casks from 1965, 1970, and 1972. Soft and mellow on the nose and palate, with unbelievably restrained oak for such a mature whisky. Delicious notes of coconut, soothing vanilla, caramel custard, and banana cream, peppered with spice notes of cinnamon, mint, and teaberry that emerge on a soft finish that fades out gently. A fitting end to the Legacy series. I’m sad to see them go.",
"Bunnahabhain 35 year old 1971 vintage, 44.9%",Single Malt Scotch,94,700,501 to 1000 Dollars,"Bottled to celebrate the 125th Anniversary of the distillery. Classic Bunnahabhain-toffeed and quite nutty. Almost rummy in nature, with rich molasses notes throughout and layers of sweetness. Some salt emerges on occasion, as do notes of honey, coconut, and candied fruit, with a pleasingly dry, gently spicy finish to round everything out. Surprisingly youthful for its age, nicely balanced, and very drinkable. A great Bunnahabhain!",
"The Dalmore Stillman's Dram 28 Year Old, 45%",Single Malt Scotch,94,140,101 to 500 Dollars,"For the past several years, the Stillman’s Dram expression of The Dalmore has been a 30 year old. This new 28 year old expression, besides being two years younger, is also slightly less sherried. In this instance, I feel that both have enhanced the whisky. Trimming back on the sherry and oak allows the whisky’s trademark orange marmalade, complex spice, and briny freshness to shine through. This one is lively, dynamic, evolving, well-balanced, and always entertaining. The best Dalmore Stillman’s Dram in years.",
"Glendronach 33 year old, 40%",Single Malt Scotch,94,400,101 to 500 Dollars,"Matured entirely in oloroso sherry butts, this whisky is chock-full of lush fruit, roasted nuts, deep spice notes, and a hint of damp smoke. It is wonderfully integrated, with incredible depth and maturity without being tired-and it expresses a soothing quality that doesn’t quit. It is stunning throughout and more polished and rounded than the 1968 Vintage released a while back, which, while enjoyable, was a tad sappy and a bit too oaky at times. This whisky is easily one of the 10 best new whiskies for 2005, and worth every penny. Get a bottle while you can. 
",
"Highland Park 34 year old 1971 vintage (Cask #8363), 53%",Single Malt Scotch,94,325,101 to 500 Dollars,"Rummy molasses and toffee sweetness intertwine with roasted nuts and bright, juicy fruit. Suggestions of fig, lavender, leather, and tobacco throughout, with a hint of peat and polished oak on the finish. Not quite as refined as the Highland Park 18 year old, but it makes up for this with its dynamic personality. A delicious ultra-mature, sherry cask-aged whisky. (A Binny’s Beverage Depot exclusive.)",
"Highland Park  1977 vintage 29 year old (Cask #7957), 48.5%",Single Malt Scotch,94,300,101 to 500 Dollars,"A delicious, well-balanced, ultra-matured expression of Highland Park. Toffee apples, molasses, and vanilla fudge provide a sweet foundation, with evolving notes of dark chocolate, dry spicy oak, tobacco, subtle smoke, and lingering brine on the finish. Nicely done. (Bottled for Old Oaks Cigar & Wine Company)",
"Highland Park 32 year old 1973 Vintage (Cask #8375), 41.3%",Single Malt Scotch,94,350,101 to 500 Dollars,"An essay in elegance. Silky and soft in texture, and very clean. Notes of peaches and cream, vanilla wafer, soft honey and fruit gum drops. Subtler notes of tropical fruit (pineapple, lemon, coconut), demerara sugar, heather, and anise. Polished oak adds structure and contrast, with a very elegant finish. Hard to believe this whisky is 32 years old. It's lighter and more elegant than the equally splendid Highland Park 30 year old, which I rated a 94 in the last issue. (Bottled exclusively for Park Avenue Liquors.)",
"Highland Park 30 Year Old, 48.1%",Single Malt Scotch,94,350,101 to 500 Dollars,"An exemplary Highland Park. There's certainly plenty of sherry influence in this whisky and it is complementary. (About 2/3 of the whisky was aged on sherry casks, and a lot of these casks were second fill.) The whisky enjoys a delicious foundation of toffee, fruit (lemon, plum, blueberries) and dark chocolate. It continues to develop and evolve on the palate, with emerging notes of heather, nougat, lavender, delicate peat and complex dried spice (especially cinnamon and nutmeg) to balance the sweeter notes. The extra alcohol is also a bonus, providing a drying balance to the whisky's sweetness. Whiskies like this one remind me why I fell in love with whisky in the first place.",
"The Macallan 17 year old Fine Oak, 43%",Single Malt Scotch,94,120,101 to 500 Dollars,"Another of the Fine Oak series (aged in both bourbon and sherry casks), which will debut in the U.S. in March. Of the five Fine Oak expressions that will be in the U.S. (10, 15, 17, 21, and 30 year old), this is my favorite, slightly besting the 15 year old. Lovely sweet notes (creamy vanilla, light toffee, marshmallow, shortbread, and a kiss of honey) are accompanied by bright fruit (multi-layered citrus) and potpourri of dried spices, along with a hint of nut and wisp of smoke. A very refined and sophisticated whisky.",
"White Bowmore 43 year old 1964 vintage, 42.8%",Single Malt Scotch,94,6000,5001 to 10000 Dollars,"I like this Bowmore better than all the previous bourbon oak-aged, ultra-mature Bowmore whiskies that have been released over the past fifteen years (there have been several). The oak is always present, but not dominant. The whisky really evolves on the palate, just like the Black Bowmore releases. This emphasis here is on fruit, bright fruit: peach, tangerine, mango, ripe melon, and pineapple. There’s a soft, gentle side to the whisky, too, enhanced by sweeter notes of pancake syrup, orange creamsicle, and white chocolate. Heavy oak notes emerge, along with teasing, earthy smoke, to give the whisky depth and bottom notes. The smoke and oak linger long on the finish. Very contemplative. In short, an outstanding whisky, but not quite reaching the excellence of Black Bowmore. 
   (Allocation information: 732 bottles available worldwide; 40 bottles are being allocated for the U.S., half of the quantity of Black Bowmore which was released earlier this year.)
",
"The Balvenie Vintage Cask 1976 vintage, 53%",Single Malt Scotch,94,800,501 to 1000 Dollars,"Very spicy and complex, with incredible depth. Once again, this 30-plus year old whisky proves the aging ability of Balvenie. Still quite vibrant and invigorating for such maturity. The classic Balvenie honey note is there, but more reserved, along with graham cracker, vanilla wafer, citrus peel, raspberry (red and black), nectarine, and polished oak. Long, spicy finish. Another outstanding Balvenie Vintage Cask. Although, I look at the price and remember how shocked I was when the Balvenie vintages were selling for $400.",
"Glenmorangie Astar 2017 Release, 52.5%",Single Malt Scotch,94,100,0 to 100 Dollars,"An innovative offering made with a proportion of chocolate malt and matured in virgin American oak. Some of the component whiskies are between 35 and 40 years old. Milk chocolate, honey, orange marmalade, sultanas, and spice on the inviting nose. The palate is rich and full, with malt, dates, Jaffa oranges, dark chocolate, and coffee beans. Long and spicy in the drying finish. Glenmorangie at its very best.",
"The Macallan 1824 Limited Release, 48%",Single Malt Scotch,94,1900,1001 to 5000 Dollars,"Antique amber. The darkest and most decadent of the four. Quite viscous and soothing, with well-layered notes of apple pie, marmalade, and maple syrup balanced by dried fruits, ginger, polished leather, tobacco, and resinous oak. One to sip and savor very slowly. (This whisky is much better than the last ultra-premium release, the Macallan 55 year old in the Lalique Decanter, and thousands of dollars less.)",
"Black Bull, 30 year old, 50%",Blended Scotch Whisky,94,200,101 to 500 Dollars,"Well, what have we here? A blend of 50% malt and 50% grain (a very high malt content for a blend), and bottled at 50%, too! The whisky was blended first (very unusual), before being aged in sherry casks for its entire life. Antique amber/chestnut color. Full sherry impact, but never cloying -- the higher alcohol level and grain whisky cut through the sherry and add balance and drinkability. This is a fruity-confection delight, with raisin chutney, fig cake, orange almond scone, and chocolate-covered cherry. Add to the mix richly textured toffee, old oak, polished leather, and a cinnamon-spiced tobacco finish. A rare treat! A great old blend that malt drinkers will embrace.",
"Highland Park 1964 vintage, 42.2%",Single Malt Scotch,94,6088,5001 to 10000 Dollars,"A marriage of two casks (refill hogsheads). Significantly darker in color than the 1968 vintage. Darker (and more serious) in personality, too. Red berries (strawberry, raspberry), rhubarb, plum, oak sap, vanilla bean, smoldering peat, coffee grounds, toasted almond, and dusty malt. The finish is long and contemplative, with notes of polished leather, juicy oak, and telicherry peppercorns. £3,750",
